RS158	WCS134	WCS317	WCS417	CHA0	WCS358
OG0000065	FBBKCKAA_01013, FBBKCKAA_01069, FBBKCKAA_01776, FBBKCKAA_03501	KMPKMMIG_01399, KMPKMMIG_04267	ODAKOFOI_01202		AGNHPPFD_02318, AGNHPPFD_04902, AGNHPPFD_06156	JLCECJFP_01997, JLCECJFP_04014, JLCECJFP_04808, JLCECJFP_05127
OG0000066	FBBKCKAA_00033, FBBKCKAA_02224	KMPKMMIG_05174	ODAKOFOI_03687, ODAKOFOI_05089, ODAKOFOI_05289	NLBLAPBN_02432, NLBLAPBN_05268	AGNHPPFD_02395, AGNHPPFD_03334, AGNHPPFD_05791	JLCECJFP_04672
OG0000067	FBBKCKAA_02168, FBBKCKAA_03848	KMPKMMIG_01792, KMPKMMIG_04660	ODAKOFOI_02214, ODAKOFOI_04020	NLBLAPBN_02538, NLBLAPBN_04116	AGNHPPFD_01966, AGNHPPFD_02934	JLCECJFP_04419, JLCECJFP_04774
OG0000068	FBBKCKAA_02161, FBBKCKAA_02165	KMPKMMIG_01798, KMPKMMIG_01802	ODAKOFOI_02219, ODAKOFOI_02223	NLBLAPBN_04107, NLBLAPBN_04111	AGNHPPFD_01969, AGNHPPFD_01973	JLCECJFP_04767, JLCECJFP_04771
OG0000069	FBBKCKAA_00551	KMPKMMIG_00357, KMPKMMIG_00444, KMPKMMIG_01226, KMPKMMIG_01232	ODAKOFOI_00072	NLBLAPBN_01429, NLBLAPBN_02192	AGNHPPFD_02895	JLCECJFP_03025, JLCECJFP_04005, JLCECJFP_04018
OG0000070	FBBKCKAA_00635, FBBKCKAA_02961	KMPKMMIG_00305, KMPKMMIG_00480, KMPKMMIG_02319, KMPKMMIG_04250	ODAKOFOI_00178, ODAKOFOI_00404	NLBLAPBN_00290, NLBLAPBN_02041, NLBLAPBN_02517	AGNHPPFD_03141	JLCECJFP_00893, JLCECJFP_02275
OG0000071	FBBKCKAA_00494, FBBKCKAA_00497, FBBKCKAA_04249, FBBKCKAA_04612	KMPKMMIG_05366, KMPKMMIG_05471	ODAKOFOI_00390, ODAKOFOI_02393	NLBLAPBN_02599	AGNHPPFD_03158, AGNHPPFD_04162	JLCECJFP_00335, JLCECJFP_01123
OG0000072	FBBKCKAA_00616, FBBKCKAA_01172	KMPKMMIG_02707, KMPKMMIG_04805	ODAKOFOI_00334, ODAKOFOI_03080	NLBLAPBN_02819	AGNHPPFD_02805, AGNHPPFD_04992, AGNHPPFD_05845	JLCECJFP_00873, JLCECJFP_01835, JLCECJFP_03065
OG0000073	FBBKCKAA_04122	KMPKMMIG_02209, KMPKMMIG_04113, KMPKMMIG_05162, KMPKMMIG_05563	ODAKOFOI_00062, ODAKOFOI_00429, ODAKOFOI_00842	NLBLAPBN_02415, NLBLAPBN_02420	AGNHPPFD_03348, AGNHPPFD_03633	JLCECJFP_00705
OG0000074	FBBKCKAA_03065, FBBKCKAA_03746	KMPKMMIG_01693, KMPKMMIG_05702	ODAKOFOI_02933, ODAKOFOI_03807	NLBLAPBN_01895, NLBLAPBN_04903	AGNHPPFD_04227, AGNHPPFD_05445	JLCECJFP_00104, JLCECJFP_03898
OG0000075	FBBKCKAA_01651, FBBKCKAA_03303	KMPKMMIG_02636, KMPKMMIG_05091	ODAKOFOI_00944, ODAKOFOI_05109	NLBLAPBN_04314, NLBLAPBN_04746	AGNHPPFD_04622, AGNHPPFD_05278	JLCECJFP_00227, JLCECJFP_01283
OG0000076	FBBKCKAA_01792, FBBKCKAA_02131	KMPKMMIG_02338, KMPKMMIG_02443, KMPKMMIG_04477	ODAKOFOI_03946, ODAKOFOI_04111	NLBLAPBN_02703, NLBLAPBN_03874	AGNHPPFD_03942, AGNHPPFD_04268	JLCECJFP_02769, JLCECJFP_03400
OG0000077		KMPKMMIG_00610, KMPKMMIG_04533, KMPKMMIG_05235	ODAKOFOI_04047, ODAKOFOI_04621	NLBLAPBN_04201	AGNHPPFD_00177, AGNHPPFD_01037, AGNHPPFD_01597, AGNHPPFD_04922, AGNHPPFD_05704	
OG0000078	FBBKCKAA_03694, FBBKCKAA_03961	KMPKMMIG_02662, KMPKMMIG_05646	ODAKOFOI_04310	NLBLAPBN_01329, NLBLAPBN_04342	AGNHPPFD_01354, AGNHPPFD_04646	JLCECJFP_00744, JLCECJFP_02648
OG0000079	FBBKCKAA_00235	KMPKMMIG_00194	ODAKOFOI_01942	NLBLAPBN_03007, NLBLAPBN_05587		JLCECJFP_01003, JLCECJFP_01053
OG0000080	FBBKCKAA_01876, FBBKCKAA_01879	KMPKMMIG_00878, KMPKMMIG_04740	ODAKOFOI_00278, ODAKOFOI_00615, ODAKOFOI_02974, ODAKOFOI_03616	NLBLAPBN_02572, NLBLAPBN_03205	AGNHPPFD_00214, AGNHPPFD_03225	JLCECJFP_04059, JLCECJFP_05028
OG0000081	FBBKCKAA_02737	KMPKMMIG_05588	ODAKOFOI_00634, ODAKOFOI_03486, ODAKOFOI_05369	NLBLAPBN_01802, NLBLAPBN_02733	AGNHPPFD_01799, AGNHPPFD_03707	JLCECJFP_03267
OG0000082	FBBKCKAA_04390	KMPKMMIG_00464, KMPKMMIG_03711		NLBLAPBN_01062, NLBLAPBN_03367, NLBLAPBN_04958	AGNHPPFD_01506, AGNHPPFD_04015	JLCECJFP_01977, JLCECJFP_05307
OG0000083	FBBKCKAA_01740, FBBKCKAA_04048	KMPKMMIG_03793	ODAKOFOI_03844	NLBLAPBN_01487, NLBLAPBN_04343	AGNHPPFD_01559, AGNHPPFD_04647	JLCECJFP_02283, JLCECJFP_04710
OG0000084	FBBKCKAA_00874, FBBKCKAA_01384	KMPKMMIG_00300, KMPKMMIG_03539	ODAKOFOI_00402, ODAKOFOI_03119	NLBLAPBN_02515, NLBLAPBN_05358	AGNHPPFD_03145, AGNHPPFD_05888	JLCECJFP_00913, JLCECJFP_02224
OG0000085	FBBKCKAA_01341, FBBKCKAA_02290	KMPKMMIG_01571, KMPKMMIG_03516	ODAKOFOI_03142, ODAKOFOI_05031	NLBLAPBN_02337, NLBLAPBN_05383	AGNHPPFD_03016, AGNHPPFD_05911	JLCECJFP_00269, JLCECJFP_02191
OG0000086	FBBKCKAA_00873, FBBKCKAA_02974, FBBKCKAA_03816	KMPKMMIG_02665, KMPKMMIG_02687	ODAKOFOI_00982	NLBLAPBN_04349	AGNHPPFD_04658, AGNHPPFD_04684	JLCECJFP_00768, JLCECJFP_02225, JLCECJFP_05078
OG0000087	FBBKCKAA_03992	KMPKMMIG_00784	ODAKOFOI_04382, ODAKOFOI_05048	NLBLAPBN_00297, NLBLAPBN_03596, NLBLAPBN_04321	AGNHPPFD_00352	JLCECJFP_02475
OG0000088	FBBKCKAA_02744	KMPKMMIG_01169, KMPKMMIG_03289	ODAKOFOI_01509, ODAKOFOI_01625	NLBLAPBN_03840, NLBLAPBN_04659	AGNHPPFD_00973, AGNHPPFD_02333, AGNHPPFD_04454	JLCECJFP_03260
OG0000089	FBBKCKAA_00150, FBBKCKAA_02296	KMPKMMIG_01139, KMPKMMIG_03036	ODAKOFOI_01051	NLBLAPBN_01012, NLBLAPBN_04436	AGNHPPFD_01005, AGNHPPFD_04742	JLCECJFP_00505, JLCECJFP_02195
OG0000090	FBBKCKAA_03695	KMPKMMIG_02584, KMPKMMIG_05023	ODAKOFOI_03729, ODAKOFOI_05190	NLBLAPBN_01281, NLBLAPBN_02076	AGNHPPFD_01309, AGNHPPFD_01791, AGNHPPFD_02363	JLCECJFP_00743, JLCECJFP_05107
OG0000091	FBBKCKAA_02270, FBBKCKAA_02741	KMPKMMIG_01767	ODAKOFOI_02186	NLBLAPBN_04147	AGNHPPFD_00772, AGNHPPFD_01931, AGNHPPFD_04919	JLCECJFP_03263, JLCECJFP_04645
OG0000092	FBBKCKAA_02365, FBBKCKAA_02369, FBBKCKAA_03082	KMPKMMIG_01977, KMPKMMIG_05203	ODAKOFOI_00518, ODAKOFOI_00616, ODAKOFOI_03769, ODAKOFOI_04604, ODAKOFOI_05051	NLBLAPBN_02329, NLBLAPBN_02579, NLBLAPBN_02984	AGNHPPFD_02254	JLCECJFP_01892
OG0000093	FBBKCKAA_01011, FBBKCKAA_01775	KMPKMMIG_01401, KMPKMMIG_05819	ODAKOFOI_00115, ODAKOFOI_00223, ODAKOFOI_01204	NLBLAPBN_02671	AGNHPPFD_02885, AGNHPPFD_03258, AGNHPPFD_04904	JLCECJFP_04009, JLCECJFP_04807
OG0000094	FBBKCKAA_02739, FBBKCKAA_03137, FBBKCKAA_05012	KMPKMMIG_05587	ODAKOFOI_00610, ODAKOFOI_00674, ODAKOFOI_01433, ODAKOFOI_05370	NLBLAPBN_01803, NLBLAPBN_03175		JLCECJFP_01811, JLCECJFP_03265
OG0000095	FBBKCKAA_00212, FBBKCKAA_00898, FBBKCKAA_01468	KMPKMMIG_04042, KMPKMMIG_05694, KMPKMMIG_05765	ODAKOFOI_02551	NLBLAPBN_02235, NLBLAPBN_03587	AGNHPPFD_02829	JLCECJFP_00571, JLCECJFP_03801
OG0000096	FBBKCKAA_01605, FBBKCKAA_04992	KMPKMMIG_01162, KMPKMMIG_02321	ODAKOFOI_01502, ODAKOFOI_05416	NLBLAPBN_01462, NLBLAPBN_03795, NLBLAPBN_04652	AGNHPPFD_00980, AGNHPPFD_01536	JLCECJFP_01189, JLCECJFP_03187
OG0000097	FBBKCKAA_01140, FBBKCKAA_03672	KMPKMMIG_00233, KMPKMMIG_04331		NLBLAPBN_03041, NLBLAPBN_05547	AGNHPPFD_06075	JLCECJFP_03908
OG0000098	FBBKCKAA_00642, FBBKCKAA_04678	KMPKMMIG_00414	ODAKOFOI_01399	NLBLAPBN_02893, NLBLAPBN_02933	AGNHPPFD_02238	JLCECJFP_00900, JLCECJFP_02291, JLCECJFP_04793
OG0000099	FBBKCKAA_02127, FBBKCKAA_04162	KMPKMMIG_03234, KMPKMMIG_03866	ODAKOFOI_00140, ODAKOFOI_01662, ODAKOFOI_04440, ODAKOFOI_05354	NLBLAPBN_00353, NLBLAPBN_01685	AGNHPPFD_02802	JLCECJFP_03404
OG0000100				NLBLAPBN_03540, NLBLAPBN_03541, NLBLAPBN_03609	AGNHPPFD_03415, AGNHPPFD_03416	JLCECJFP_01665, JLCECJFP_01666
OG0000101	FBBKCKAA_04709	KMPKMMIG_03254, KMPKMMIG_05451	ODAKOFOI_04324	NLBLAPBN_01345, NLBLAPBN_03629	AGNHPPFD_01371, AGNHPPFD_02202	JLCECJFP_04823, JLCECJFP_05194
OG0000102	FBBKCKAA_01070, FBBKCKAA_03865	KMPKMMIG_04380, KMPKMMIG_05686	ODAKOFOI_01040, ODAKOFOI_03746	NLBLAPBN_02036	AGNHPPFD_04102, AGNHPPFD_04730	JLCECJFP_01998, JLCECJFP_04433
OG0000103	FBBKCKAA_01005	KMPKMMIG_01916, KMPKMMIG_04225	ODAKOFOI_00749	NLBLAPBN_01437	AGNHPPFD_01386, AGNHPPFD_02024, AGNHPPFD_03592, AGNHPPFD_03744	JLCECJFP_04839
OG0000104	FBBKCKAA_02919			NLBLAPBN_03560	AGNHPPFD_03262, AGNHPPFD_04217	JLCECJFP_02238, JLCECJFP_04575, JLCECJFP_04973, JLCECJFP_05103
OG0000105	FBBKCKAA_02631	KMPKMMIG_00883, KMPKMMIG_01925, KMPKMMIG_05113	ODAKOFOI_02262, ODAKOFOI_04630	NLBLAPBN_01527, NLBLAPBN_03665	AGNHPPFD_00209, AGNHPPFD_02033	JLCECJFP_01402
OG0000106	FBBKCKAA_00220, FBBKCKAA_04703	KMPKMMIG_05151	ODAKOFOI_03793	NLBLAPBN_00150	AGNHPPFD_00634, AGNHPPFD_01595, AGNHPPFD_04327	JLCECJFP_00580
OG0000107	FBBKCKAA_01907, FBBKCKAA_02651	KMPKMMIG_05579	ODAKOFOI_00473, ODAKOFOI_03152	NLBLAPBN_03063, NLBLAPBN_03087, NLBLAPBN_03134, NLBLAPBN_05393	AGNHPPFD_05923	JLCECJFP_02536
OG0000108		KMPKMMIG_01621, KMPKMMIG_04646, KMPKMMIG_05827	ODAKOFOI_01992	NLBLAPBN_04962	AGNHPPFD_01989	JLCECJFP_05337
OG0000109	FBBKCKAA_01568	KMPKMMIG_01113, KMPKMMIG_05635	ODAKOFOI_00668, ODAKOFOI_00837, ODAKOFOI_01462, ODAKOFOI_05178	NLBLAPBN_00952, NLBLAPBN_02657	AGNHPPFD_01035	JLCECJFP_04316
OG0000110	FBBKCKAA_01217, FBBKCKAA_03563, FBBKCKAA_04724	KMPKMMIG_05636	ODAKOFOI_00645, ODAKOFOI_03660	NLBLAPBN_02386, NLBLAPBN_02652	AGNHPPFD_01431, AGNHPPFD_02571, AGNHPPFD_02982, AGNHPPFD_03660, AGNHPPFD_05198	JLCECJFP_00161
OG0000111	FBBKCKAA_00904	KMPKMMIG_02683, KMPKMMIG_03770	ODAKOFOI_00992, ODAKOFOI_03226	NLBLAPBN_04358, NLBLAPBN_04681	AGNHPPFD_00790, AGNHPPFD_04677	JLCECJFP_03795
OG0000112	FBBKCKAA_01134, FBBKCKAA_01739, FBBKCKAA_03679	KMPKMMIG_00248		NLBLAPBN_03031, NLBLAPBN_05541	AGNHPPFD_06069	JLCECJFP_03915
OG0000113	FBBKCKAA_00628	KMPKMMIG_02614, KMPKMMIG_04254	ODAKOFOI_00174	NLBLAPBN_01310, NLBLAPBN_03316, NLBLAPBN_05628	AGNHPPFD_01334, AGNHPPFD_06177	JLCECJFP_00888
OG0000114	FBBKCKAA_01652, FBBKCKAA_01722	KMPKMMIG_02637	ODAKOFOI_00539, ODAKOFOI_00945, ODAKOFOI_05355	NLBLAPBN_04315	AGNHPPFD_04623	JLCECJFP_01284, JLCECJFP_01361
OG0000115	FBBKCKAA_01176	KMPKMMIG_02718, KMPKMMIG_05435	ODAKOFOI_00073, ODAKOFOI_04946	NLBLAPBN_02226, NLBLAPBN_04228	AGNHPPFD_01859, AGNHPPFD_02498	JLCECJFP_00852, JLCECJFP_01831
OG0000116	FBBKCKAA_00571	KMPKMMIG_02658, KMPKMMIG_05440	ODAKOFOI_00980, ODAKOFOI_03750	NLBLAPBN_02032, NLBLAPBN_04340	AGNHPPFD_04106, AGNHPPFD_04642	JLCECJFP_00831
OG0000117		KMPKMMIG_03827, KMPKMMIG_04836, KMPKMMIG_04905	ODAKOFOI_00681, ODAKOFOI_00798, ODAKOFOI_04928	NLBLAPBN_01442, NLBLAPBN_02184, NLBLAPBN_03447		JLCECJFP_02050
OG0000118	FBBKCKAA_01764, FBBKCKAA_01766, FBBKCKAA_01771	KMPKMMIG_03420			AGNHPPFD_02529	JLCECJFP_00462, JLCECJFP_00463, JLCECJFP_03985, JLCECJFP_04834, JLCECJFP_04981
OG0000119	FBBKCKAA_03334	KMPKMMIG_00441, KMPKMMIG_05158, KMPKMMIG_05249, KMPKMMIG_05611	ODAKOFOI_00651, ODAKOFOI_04901	NLBLAPBN_02158	AGNHPPFD_01827	JLCECJFP_03861
OG0000120	FBBKCKAA_01118	KMPKMMIG_02312, KMPKMMIG_03564	ODAKOFOI_00889	NLBLAPBN_02969, NLBLAPBN_04272	AGNHPPFD_02721, AGNHPPFD_04575	JLCECJFP_02043
OG0000121	FBBKCKAA_03204, FBBKCKAA_03873	KMPKMMIG_05122	ODAKOFOI_05027	NLBLAPBN_02900, NLBLAPBN_03730	AGNHPPFD_02765, AGNHPPFD_03366, AGNHPPFD_04146	JLCECJFP_02782, JLCECJFP_04443
OG0000122	FBBKCKAA_02797, FBBKCKAA_03225	KMPKMMIG_03511, KMPKMMIG_05816	ODAKOFOI_02869, ODAKOFOI_04011	NLBLAPBN_05019	AGNHPPFD_02942	JLCECJFP_02725, JLCECJFP_04882
OG0000123	FBBKCKAA_01133, FBBKCKAA_03668	KMPKMMIG_00249		NLBLAPBN_03030, NLBLAPBN_05540	AGNHPPFD_06068	JLCECJFP_03904
OG0000124	FBBKCKAA_01947	KMPKMMIG_01669, KMPKMMIG_01814	ODAKOFOI_02614	NLBLAPBN_01644, NLBLAPBN_04921	AGNHPPFD_04392	JLCECJFP_02121
OG0000125	FBBKCKAA_00176, FBBKCKAA_04831	KMPKMMIG_01417, KMPKMMIG_04364	ODAKOFOI_01023, ODAKOFOI_01336	NLBLAPBN_04387	AGNHPPFD_04713, AGNHPPFD_04920	JLCECJFP_00539, JLCECJFP_01560
OG0000126	FBBKCKAA_02049, FBBKCKAA_02062	KMPKMMIG_03453, KMPKMMIG_03466	ODAKOFOI_02830	NLBLAPBN_05063	AGNHPPFD_05560, AGNHPPFD_05573	JLCECJFP_04213, JLCECJFP_04226
OG0000127	FBBKCKAA_01866	KMPKMMIG_00918, KMPKMMIG_02359	ODAKOFOI_00243, ODAKOFOI_03827	NLBLAPBN_00138, NLBLAPBN_02364	AGNHPPFD_00158, AGNHPPFD_02679	JLCECJFP_04051
OG0000128	FBBKCKAA_02352, FBBKCKAA_04243	KMPKMMIG_01159	ODAKOFOI_01499	NLBLAPBN_03180, NLBLAPBN_04649	AGNHPPFD_00983, AGNHPPFD_02785	JLCECJFP_01116
OG0000129	FBBKCKAA_00633	KMPKMMIG_04252, KMPKMMIG_05592	ODAKOFOI_00176, ODAKOFOI_05365	NLBLAPBN_01798, NLBLAPBN_02054, NLBLAPBN_03178	AGNHPPFD_01795	JLCECJFP_00891
OG0000130	FBBKCKAA_02722, FBBKCKAA_02723	KMPKMMIG_01963	ODAKOFOI_00039, ODAKOFOI_03184		AGNHPPFD_01987	JLCECJFP_01389, JLCECJFP_02406, JLCECJFP_02813
OG0000131	FBBKCKAA_00754, FBBKCKAA_01340	KMPKMMIG_01201, KMPKMMIG_03514	ODAKOFOI_00556, ODAKOFOI_03143	NLBLAPBN_05384	AGNHPPFD_02417, AGNHPPFD_05913	JLCECJFP_00270, JLCECJFP_00385
OG0000132	FBBKCKAA_02767, FBBKCKAA_04606	KMPKMMIG_01254, KMPKMMIG_02892, KMPKMMIG_05156	ODAKOFOI_03591, ODAKOFOI_05350	NLBLAPBN_02223		JLCECJFP_00338, JLCECJFP_02309
OG0000133	FBBKCKAA_00210, FBBKCKAA_01466	KMPKMMIG_04047, KMPKMMIG_04726, KMPKMMIG_05098	ODAKOFOI_02553, ODAKOFOI_05103	NLBLAPBN_02240, NLBLAPBN_03589	AGNHPPFD_02834	JLCECJFP_00569
OG0000134	FBBKCKAA_01052, FBBKCKAA_04491, FBBKCKAA_04672	KMPKMMIG_04754	ODAKOFOI_04643	NLBLAPBN_01579	AGNHPPFD_02505	JLCECJFP_01441, JLCECJFP_01963, JLCECJFP_02278
OG0000135	FBBKCKAA_00506, FBBKCKAA_01946	KMPKMMIG_01670	ODAKOFOI_00786, ODAKOFOI_02917	NLBLAPBN_03460, NLBLAPBN_04920	AGNHPPFD_02297, AGNHPPFD_05462	JLCECJFP_01228, JLCECJFP_02120
OG0000136	FBBKCKAA_03026	KMPKMMIG_01469, KMPKMMIG_01472	ODAKOFOI_04177, ODAKOFOI_04179	NLBLAPBN_05148, NLBLAPBN_05150	AGNHPPFD_05663, AGNHPPFD_05665	JLCECJFP_03115
OG0000137	FBBKCKAA_02332, FBBKCKAA_04922	KMPKMMIG_00930, KMPKMMIG_05033	ODAKOFOI_03435		AGNHPPFD_00141	JLCECJFP_04695, JLCECJFP_05206
OG0000138	FBBKCKAA_00351, FBBKCKAA_00356		ODAKOFOI_02488, ODAKOFOI_02492, ODAKOFOI_05427	NLBLAPBN_00455	AGNHPPFD_00531, AGNHPPFD_00535	JLCECJFP_04467, JLCECJFP_04472
OG0000139	FBBKCKAA_01004, FBBKCKAA_04469		ODAKOFOI_01396, ODAKOFOI_04677	NLBLAPBN_03511	AGNHPPFD_01387, AGNHPPFD_02739, AGNHPPFD_03594, AGNHPPFD_03742, AGNHPPFD_03743, AGNHPPFD_05161	JLCECJFP_04738, JLCECJFP_04838
OG0000140	FBBKCKAA_04203	KMPKMMIG_01575, KMPKMMIG_02867, KMPKMMIG_02878, KMPKMMIG_05026	ODAKOFOI_00004, ODAKOFOI_03576, ODAKOFOI_03580, ODAKOFOI_03726, ODAKOFOI_03772	NLBLAPBN_01898, NLBLAPBN_03594		JLCECJFP_04440
OG0000141	FBBKCKAA_01135, FBBKCKAA_03678	KMPKMMIG_00247		NLBLAPBN_03032, NLBLAPBN_05542	AGNHPPFD_06070	JLCECJFP_03914
OG0000142	FBBKCKAA_03046, FBBKCKAA_04719	KMPKMMIG_01320	ODAKOFOI_01127	NLBLAPBN_01450, NLBLAPBN_02118	AGNHPPFD_02794, AGNHPPFD_04817, AGNHPPFD_05018	JLCECJFP_01944, JLCECJFP_05161
OG0000143	FBBKCKAA_00393	KMPKMMIG_00164, KMPKMMIG_00682	ODAKOFOI_02442	NLBLAPBN_00492, NLBLAPBN_05616	AGNHPPFD_00575, AGNHPPFD_06164	JLCECJFP_00015
OG0000144	FBBKCKAA_01689, FBBKCKAA_02666	KMPKMMIG_05036, KMPKMMIG_05241	ODAKOFOI_00363, ODAKOFOI_03432	NLBLAPBN_04005	AGNHPPFD_00334, AGNHPPFD_01615	JLCECJFP_01322, JLCECJFP_05104
OG0000145	FBBKCKAA_00416, FBBKCKAA_01166	KMPKMMIG_05748	ODAKOFOI_01686	NLBLAPBN_03374	AGNHPPFD_03529, AGNHPPFD_03749, AGNHPPFD_04023	JLCECJFP_01839, JLCECJFP_03896
OG0000146	FBBKCKAA_03080	KMPKMMIG_03816	ODAKOFOI_03366	NLBLAPBN_00195, NLBLAPBN_01448	AGNHPPFD_00229, AGNHPPFD_01533	JLCECJFP_00515, JLCECJFP_01894
OG0000147		KMPKMMIG_02455	ODAKOFOI_00636, ODAKOFOI_02381	NLBLAPBN_02934, NLBLAPBN_03049	AGNHPPFD_00643	JLCECJFP_01653
OG0000148	FBBKCKAA_00973, FBBKCKAA_02687	KMPKMMIG_01544	ODAKOFOI_03717	NLBLAPBN_02751	AGNHPPFD_03110	JLCECJFP_02745, JLCECJFP_04252
OG0000149	FBBKCKAA_04531	KMPKMMIG_00969, KMPKMMIG_03766	ODAKOFOI_03221, ODAKOFOI_05328	NLBLAPBN_00636	AGNHPPFD_00732, AGNHPPFD_00785, AGNHPPFD_04906	JLCECJFP_03229
OG0000150				NLBLAPBN_02285, NLBLAPBN_02331, NLBLAPBN_03553	AGNHPPFD_03267	JLCECJFP_05304
OG0000151	FBBKCKAA_02366		ODAKOFOI_00516, ODAKOFOI_03682	NLBLAPBN_02348, NLBLAPBN_02580	AGNHPPFD_00771, AGNHPPFD_02257, AGNHPPFD_02662	JLCECJFP_00170, JLCECJFP_02047, JLCECJFP_02964
OG0000152	FBBKCKAA_00955, FBBKCKAA_01171	KMPKMMIG_00968	ODAKOFOI_05329	NLBLAPBN_00637, NLBLAPBN_02780	AGNHPPFD_00733, AGNHPPFD_03428	JLCECJFP_01836
OG0000153	FBBKCKAA_02133, FBBKCKAA_03336	KMPKMMIG_00439, KMPKMMIG_03999, KMPKMMIG_05248	ODAKOFOI_00591, ODAKOFOI_00653, ODAKOFOI_04902	NLBLAPBN_04264	AGNHPPFD_01828	JLCECJFP_03859
OG0000154	FBBKCKAA_02266	KMPKMMIG_01227, KMPKMMIG_02715, KMPKMMIG_05004		NLBLAPBN_03415	AGNHPPFD_02981, AGNHPPFD_04069, AGNHPPFD_05199	JLCECJFP_00881, JLCECJFP_01904
OG0000155	FBBKCKAA_03802, FBBKCKAA_04168	KMPKMMIG_05015	ODAKOFOI_01780	NLBLAPBN_03428	AGNHPPFD_04081	JLCECJFP_00783, JLCECJFP_01856
OG0000156	FBBKCKAA_03338	KMPKMMIG_02456, KMPKMMIG_03294, KMPKMMIG_05147	ODAKOFOI_00078, ODAKOFOI_01630	NLBLAPBN_02908, NLBLAPBN_03850	AGNHPPFD_02495, AGNHPPFD_03916	JLCECJFP_03856
OG0000157	FBBKCKAA_01827	KMPKMMIG_00378		NLBLAPBN_02677, NLBLAPBN_04839	AGNHPPFD_03252, AGNHPPFD_05372	JLCECJFP_05157
OG0000158	FBBKCKAA_03044	KMPKMMIG_02152	ODAKOFOI_00327, ODAKOFOI_03598	NLBLAPBN_02693, NLBLAPBN_03778	AGNHPPFD_02198, AGNHPPFD_02795, AGNHPPFD_03399, AGNHPPFD_05024	JLCECJFP_01946
OG0000159	FBBKCKAA_04343, FBBKCKAA_04617	KMPKMMIG_03524, KMPKMMIG_03855	ODAKOFOI_00129, ODAKOFOI_03134	NLBLAPBN_03202, NLBLAPBN_05375	AGNHPPFD_05903	JLCECJFP_00333
OG0000160	FBBKCKAA_04567, FBBKCKAA_04568	KMPKMMIG_03307, KMPKMMIG_03308	ODAKOFOI_01641	NLBLAPBN_03859	AGNHPPFD_04471	JLCECJFP_03377, JLCECJFP_03378
OG0000161		KMPKMMIG_01607, KMPKMMIG_03828, KMPKMMIG_04837	ODAKOFOI_00799	NLBLAPBN_03446, NLBLAPBN_04363	AGNHPPFD_04686	JLCECJFP_02049, JLCECJFP_02708
OG0000162	FBBKCKAA_02137, FBBKCKAA_03883	KMPKMMIG_04478	ODAKOFOI_04110	NLBLAPBN_03875	AGNHPPFD_04269	JLCECJFP_02104, JLCECJFP_03399
OG0000163	FBBKCKAA_01573	KMPKMMIG_00926, KMPKMMIG_01313	ODAKOFOI_00544, ODAKOFOI_03820	NLBLAPBN_00128, NLBLAPBN_02549	AGNHPPFD_00146, AGNHPPFD_02390	JLCECJFP_04320
OG0000164	FBBKCKAA_03959	KMPKMMIG_00835, KMPKMMIG_02998	ODAKOFOI_01088, ODAKOFOI_04423	NLBLAPBN_04474	AGNHPPFD_00407, AGNHPPFD_04789	JLCECJFP_02646
OG0000165	FBBKCKAA_01006	KMPKMMIG_03318		NLBLAPBN_03869	AGNHPPFD_01385, AGNHPPFD_03593	JLCECJFP_02931, JLCECJFP_02936, JLCECJFP_04840
OG0000166	FBBKCKAA_03042	KMPKMMIG_01213		NLBLAPBN_02119, NLBLAPBN_02552	AGNHPPFD_02796, AGNHPPFD_03482	JLCECJFP_01947
OG0000167	FBBKCKAA_02404, FBBKCKAA_02405, FBBKCKAA_04351		ODAKOFOI_00484, ODAKOFOI_03391		AGNHPPFD_01567	JLCECJFP_01154, JLCECJFP_01155, JLCECJFP_02707
OG0000168	FBBKCKAA_01863, FBBKCKAA_04265	KMPKMMIG_00921, KMPKMMIG_02058		NLBLAPBN_05401	AGNHPPFD_05931	JLCECJFP_00074, JLCECJFP_04048
OG0000169	FBBKCKAA_03840			NLBLAPBN_00196	AGNHPPFD_00232, AGNHPPFD_02099, AGNHPPFD_03888	JLCECJFP_00934, JLCECJFP_04410
OG0000170	FBBKCKAA_03253	KMPKMMIG_02505, KMPKMMIG_02506, KMPKMMIG_04096	ODAKOFOI_03633, ODAKOFOI_04354	NLBLAPBN_01383	AGNHPPFD_01446	JLCECJFP_02680
OG0000171	FBBKCKAA_00985, FBBKCKAA_04025	KMPKMMIG_03609	ODAKOFOI_02703	NLBLAPBN_01761	AGNHPPFD_01755, AGNHPPFD_03186	JLCECJFP_02733, JLCECJFP_04166
OG0000172	FBBKCKAA_01226, FBBKCKAA_02340	KMPKMMIG_01239, KMPKMMIG_02383	ODAKOFOI_02318, ODAKOFOI_03361	NLBLAPBN_02028	AGNHPPFD_03805, AGNHPPFD_03880	JLCECJFP_02808, JLCECJFP_04903
OG0000173	FBBKCKAA_01826	KMPKMMIG_00377		NLBLAPBN_02676, NLBLAPBN_04840	AGNHPPFD_03253, AGNHPPFD_05373	JLCECJFP_05158
OG0000174		KMPKMMIG_05374, KMPKMMIG_05375	ODAKOFOI_01118, ODAKOFOI_01434, ODAKOFOI_01460, ODAKOFOI_03753	NLBLAPBN_03806, NLBLAPBN_03807		
